word,frequency,language
Caperucita,211,spa
Roja,99,spa
una,74,spa
niña,31,spa
conocida,1,spa
por,42,spa
portar,1,spa
capa,11,spa
de,236,spa
color,3,spa
rojo,4,spa
que,179,spa
vivía,11,spa
en,115,spa
el,268,spa
bosque,41,spa
ella,37,spa
solía,2,spa
hornear,2,spa
pasteles,12,spa
con,93,spa
su,196,spa
abuela,123,spa
un,120,spa
día,20,spa
madre,5,spa
la,317,spa
envió,1,spa
provisiones,2,spa
al,72,spa
donde,8,spa
después,23,spa
largo,1,spa
caminar,4,spa
y,298,spa
toparse,2,spa
leñador,20,spa
pronto,8,spa
lobo,214,spa
avistó,1,spa
a,242,spa
mirándola,1,spa
deseosamente,2,spa
no,47,spa
obstante,3,spa
ello,7,spa
se,179,spa
percató,4,spa
iría,1,spa
casa,80,spa
mientras,35,spa
recogía,5,spa
flores,42,spa
los,28,spa
alrededores,1,spa
del,38,spa
decidió,16,spa
ir,6,spa
entonces,23,spa
irrumpió,1,spa
tomándola,1,spa
comiéndola,1,spa
rato,1,spa
llegó,39,spa
sin,10,spa
saber,1,spa
había,45,spa
disfrazado,2,spa
deseosa,1,spa
ver,13,spa
recogido,6,spa
las,38,spa
mamá,21,spa
mandado,1,spa
para,45,spa
colocando,1,spa
jarrón,5,spa
comida,13,spa
mesa,5,spa
estaba,61,spa
esperando,1,spa
porque,11,spa
acercaba,1,spa
él,8,spa
acercó,11,spa
cama,41,spa
supuesta,2,spa
notando,1,spa
ciertas,1,spa
cosas,4,spa
veía,2,spa
bien,6,spa
todo,10,spa
abalanzó,5,spa
hacia,8,spa
intentando,2,spa
comerla,1,spa
intentó,2,spa
correr,2,spa
toda,1,spa
escapar,3,spa
comió,9,spa
momento,2,spa
hacer,3,spa
tanto,5,spa
ruido,2,spa
cazador,70,spa
dio,21,spa
cuenta,27,spa
lo,26,spa
sucediendo,1,spa
acercarse,1,spa
investigar,2,spa
entró,14,spa
encontró,14,spa
satisfecho,4,spa
tirado,3,spa
historia,1,spa
tomó,3,spa
revuelo,1,spa
distinto,1,spa
cual,4,spa
simplemente,1,spa
comido,13,spa
igual,3,spa
fue,21,spa
mandada,1,spa
par,1,spa
piedras,21,spa
preparaba,3,spa
hilera,2,spa
enviaron,1,spa
ya,21,spa
estómago,9,spa
lleno,5,spa
deshacerse,1,spa
llevarle,9,spa
junto,10,spa
era,37,spa
alegre,4,spa
distinguía,1,spa
roja,13,spa
tenía,23,spa
como,15,spa
amigos,1,spa
varios,1,spa
pájaros,2,spa
animales,8,spa
muy,29,spa
