word,frequency,language
Little,116,eng
Red,141,eng
Riding,141,eng
Hood,127,eng
said,11,eng
goodbye,13,eng
to,186,eng
mom,3,eng
carrying,2,eng
a,125,eng
basket,15,eng
of,89,eng
goodies,6,eng
she,110,eng
was,160,eng
grapes,1,eng
bottles,1,eng
wine,6,eng
cheese,1,eng
and,331,eng
crackers,3,eng
as,51,eng
walked,11,eng
through,16,eng
the,482,eng
woods,11,eng
followed,5,eng
by,22,eng
big,34,eng
bad,24,eng
wolf,137,eng
stopped,4,eng
along,7,eng
path,2,eng
picked,6,eng
some,17,eng
flowers,28,eng
bring,4,eng
grandma,52,eng
quickly,1,eng
went,26,eng
ahead,4,eng
arrive,1,eng
at,27,eng
cottage,11,eng
before,5,eng
did,16,eng
in,91,eng
scared,4,eng
when,15,eng
arrived,4,eng
arranged,2,eng
pretty,2,eng
vase,6,eng
put,14,eng
cookies,9,eng
out,37,eng
for,36,eng
who,17,eng
bed,29,eng
hello,1,eng
surprised,1,eng
what,16,eng
eats,2,eng
had,48,eng
ears,3,eng
you,7,eng
have,10,eng
just,11,eng
then,21,eng
jumped,9,eng
nightgown,2,eng
proceeded,2,eng
chase,2,eng
after,17,eng
chasing,5,eng
around,3,eng
ate,8,eng
resting,2,eng
on,40,eng
with,69,eng
full,10,eng
tummy,1,eng
hunter,32,eng
his,35,eng
basset,1,eng
hound,1,eng
came,21,eng
ready,3,eng
get,4,eng
took,3,eng
pair,3,eng
scissors,4,eng
cut,9,eng
open,9,eng
belly,19,eng
sewing,4,eng
back,17,eng
up,40,eng
rocks,19,eng
inside,5,eng
all,30,eng
could,3,eng
no,5,eng
longer,1,eng
run,1,eng
fast,1,eng
trouble,2,eng
seeing,1,eng
where,2,eng
he,63,eng
going,15,eng
day,10,eng
her,179,eng
home,8,eng
once,8,eng
upon,9,eng
time,19,eng
saw,7,eng
everybody,3,eng
happy,19,eng
there,23,eng
one,9,eng
year,1,eng
old,4,eng
maybe,5,eng
birds,16,eng
turned,1,eng
i,10,eng
know,7,eng
candle,4,eng
also,4,eng
leave,3,eng
go,12,eng
well,16,eng
this,24,eng
is,18,eng
past,3,eng
tense,2,eng
hold,1,eng
waved,10,eng
mother,8,eng
left,10,eng
bread,1,eng
somebody,1,eng
am,1,eng
doing,3,eng
right,6,eng
would,20,eng
walk,2,eng
forest,24,eng
way,12,eng
wherever,1,eng
we,2,eng
beginning,1,eng
so,56,eng
if,2,eng
are,1,eng
actual,1,eng
tale,1,eng
while,24,eng
sometimes,1,eng
across,2,eng
good,9,eng
animals,7,eng
weird,1,eng
villager,3,eng
an,8,eng
ax,3,eng
but,23,eng
even,5,eng
though,6,eng
look,5,eng
mean,2,eng
secretly,2,eng
they,43,eng
were,17,eng
hungry,3,eng
or,9,eng
be,8,eng
collecting,1,eng
it,55,eng
known,1,eng
that,64,eng
wolves,1,eng
like,20,eng
hang,1,eng
remember,3,eng
story,5,eng
now,4,eng
because,23,eng
slow,2,eng
into,9,eng
something,6,eng
horrific,1,eng
grandmother,85,eng
looks,10,eng
possiby,1,eng
eat,9,eng
showed,1,eng
house,42,eng
nice,5,eng
still,7,eng
alive,3,eng
today,2,eng
thinking,3,eng
reality,1,eng
dressed,1,eng
eating,3,eng
friendly,1,eng
mice,9,eng
liked,2,eng
sorry,2,eng
never,3,eng
kids,1,eng
really,5,eng
yeah,2,eng
believe,1,eng
giving,1,eng
children,1,eng
anyway,5,eng
test,1,eng
decided,16,eng
wake,4,eng
tapped,1,eng
possibly,1,eng
suddenly,2,eng
waking,1,eng
instead,4,eng
too,7,eng
late,1,eng
anybody,3,eng
helped,2,eng
see,6,eng
anything,2,eng
else,1,eng
wait,1,eng
cake,4,eng
sure,2,eng
okay,3,eng
guy,1,eng
dead,5,eng
although,5,eng
awfully,1,eng
being,4,eng
got,8,eng
bunch,5,eng
stones,8,eng
filled,6,eng
sleeping,2,eng
totally,1,eng
woke,3,eng
caused,1,eng
havoc,1,eng
intestines,1,eng
might,2,eng
fallen,1,eng
supposed,1,eng
ignore,1,eng
top,1,eng
random,1,eng
dog,16,eng
lived,8,eng
happily,4,eng
ever,4,eng
end,3,eng
little,24,eng
girl,16,eng
name,1,eng
called,2,eng
red,3,eng
cape,8,eng
hood,4,eng
made,7,eng
very,16,eng
received,1,eng
birthday,3,eng
present,1,eng
from,22,eng
wanted,6,eng
visit,7,eng
take,4,eng
picnic,4,eng
lunch,1,eng
set,6,eng
off,10,eng
walking,7,eng
lumberjack,4,eng
guess,2,eng
cutting,4,eng
tree,1,eng
sneaking,2,eng
behind,8,eng
yelled,1,eng
try,6,eng
scare,2,eng
him,9,eng
trick,2,eng
distracted,1,eng
picking,7,eng
ran,5,eng
let,2,eng
attacked,7,eng
dress,1,eng
clothing,1,eng
waited,2,eng
anticipation,1,eng
make,7,eng
move,2,eng
looked,7,eng
thought,5,eng
odd,1,eng
eyes,4,eng
not,35,eng
comes,1,eng
next,1,eng
replied,1,eng
better,6,eng
my,5,eng
dear,1,eng
teeth,3,eng
threw,1,eng
blankets,2,eng
knocking,1,eng
over,11,eng
night,2,eng
table,4,eng
promptly,3,eng
fell,4,eng
asleep,4,eng
middle,1,eng
chaos,1,eng
local,4,eng
passing,1,eng
heard,2,eng
commotion,3,eng
figure,1,eng
meal,5,eng
popped,4,eng
intact,1,eng
undigested,1,eng
saved,5,eng
quite,4,eng
idea,4,eng
simulate,1,eng
gathered,2,eng
sewed,4,eng
thisty,1,eng
long,6,eng
nap,5,eng
wobbled,1,eng
watched,9,eng
bush,1,eng
leaned,1,eng
drink,5,eng
heavy,1,eng
down,4,eng
sank,1,eng
drowned,2,eng
everyone,5,eng
started,4,eng
escort,2,eng
live,2,eng
another,1,eng
chirping,2,eng
yup,1,eng
scary,2,eng
man,10,eng
them,12,eng
continued,2,eng
watch,1,eng
looking,4,eng
enters,1,eng
attacks,1,eng
probably,1,eng
brings,1,eng
water,2,eng
brought,6,eng
eaten,5,eng
presumably,1,eng
stolen,1,eng
