word,category,504,512,518,507,511,508,514,502,517,501,516,515,503,509,510,505,513
the,DET,52,26,56,43,35,36,47,0,43,29,51,44,0,46,38,28,36
girl,NOUN,13,5,11,1,10,10,11,0,9,3,7,0,0,12,8,7,5
was,AUX,3,2,8,8,7,2,1,0,9,5,11,7,0,5,6,8,0
skipping,VERB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around,ADV,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0
in,ADP,12,7,5,5,2,1,5,0,7,1,4,9,0,6,4,3,1
her,PRON,7,6,24,17,10,9,4,0,15,5,10,18,0,11,13,1,4
grandmother,NOUN,5,0,2,15,2,10,0,0,0,0,1,2,0,2,1,1,0
house,NOUN,6,4,4,5,2,3,4,0,4,1,3,6,0,5,3,2,1
and,CCONJ,23,19,33,39,22,14,16,0,28,5,23,74,0,13,40,17,8
there,ADV,6,0,1,2,3,0,0,0,1,0,0,12,0,1,2,2,0
were,VERB,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
there,PRON,4,1,1,4,4,0,0,0,1,0,1,2,0,0,0,1,0
was,VERB,5,1,2,4,3,0,1,0,2,0,1,2,0,0,2,3,0
grass,NOUN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,DET,19,13,12,15,9,6,0,0,10,0,5,3,0,3,7,9,4
grassy,ADJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forest,NOUN,5,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0
outside,ADV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,SCONJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birds,NOUN,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,2
on,ADP,5,1,4,6,3,2,0,0,3,0,1,4,0,0,4,0,1
window,NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bird,NOUN,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inside,ADV,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
pot,NOUN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
